login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages
Ganseki,https://api.github.com/users/Ganseki,https://github.com/Ganseki,https://api.github.com/users/Ganseki/repos,4,0,0,0,set()
peuster,https://api.github.com/users/peuster,https://github.com/peuster,https://api.github.com/users/peuster/repos,3,0,0,0,{'Vim script'}
jasonjohnson,https://api.github.com/users/jasonjohnson,https://github.com/jasonjohnson,https://api.github.com/users/jasonjohnson/repos,21,42,10,42,"{'PHP', 'VimL', 'Go', 'Python', 'Erlang'}"
andrei,https://api.github.com/users/andrei,https://github.com/andrei,https://api.github.com/users/andrei/repos,5,0,0,0,set()
kairichard,https://api.github.com/users/kairichard,https://github.com/kairichard,https://api.github.com/users/kairichard/repos,46,1022,130,1022,"{'Ruby', 'PHP', 'C', 'TypeScript', 'JavaScript', 'HTML', 'Shell', 'Python', 'Vim Script', 'Gherkin', 'Makefile', 'Java', 'SCSS'}"
mr-zyf,https://api.github.com/users/mr-zyf,https://github.com/mr-zyf,https://api.github.com/users/mr-zyf/repos,2,0,0,0,set()
prasincs,https://api.github.com/users/prasincs,https://github.com/prasincs,https://api.github.com/users/prasincs/repos,73,4,2,4,"{'Ruby', 'Clojure', 'JavaScript', 'Go', 'Python', 'Perl', 'Rust'}"
Jorgedbasto,https://api.github.com/users/Jorgedbasto,https://github.com/Jorgedbasto,https://api.github.com/users/Jorgedbasto/repos,3,2,0,2,{'Ruby'}
prashantr,https://api.github.com/users/prashantr,https://github.com/prashantr,https://api.github.com/users/prashantr/repos,2,0,0,0,set()
rbaldwin,https://api.github.com/users/rbaldwin,https://github.com/rbaldwin,https://api.github.com/users/rbaldwin/repos,5,1,1,1,{'JavaScript'}
titindotnet,https://api.github.com/users/titindotnet,https://github.com/titindotnet,https://api.github.com/users/titindotnet/repos,3,0,0,0,set()
nergal,https://api.github.com/users/nergal,https://github.com/nergal,https://api.github.com/users/nergal/repos,35,127,29,127,"{'PHP', 'C', 'JavaScript', 'Python', 'Makefile', 'Java'}"
namwob,https://api.github.com/users/namwob,https://github.com/namwob,https://api.github.com/users/namwob/repos,3,0,0,0,{'Ruby'}
suhara,https://api.github.com/users/suhara,https://github.com/suhara,https://api.github.com/users/suhara/repos,35,125,12,125,"{'C++', 'C', 'Jupyter Notebook', 'JavaScript', 'Emacs Lisp', 'Python'}"
hounddoggie,https://api.github.com/users/hounddoggie,https://github.com/hounddoggie,https://api.github.com/users/hounddoggie/repos,4,0,0,0,set()
mhybsier,https://api.github.com/users/mhybsier,https://github.com/mhybsier,https://api.github.com/users/mhybsier/repos,6,7,3,7,{'Ruby'}
eluns,https://api.github.com/users/eluns,https://github.com/eluns,https://api.github.com/users/eluns/repos,8,6,0,6,"{'Ruby', 'JavaScript', 'Java', 'Jupyter Notebook'}"
philipzaengle,https://api.github.com/users/philipzaengle,https://github.com/philipzaengle,https://api.github.com/users/philipzaengle/repos,26,30,6,30,"{'PHP', 'JavaScript'}"
jakabr,https://api.github.com/users/jakabr,https://github.com/jakabr,https://api.github.com/users/jakabr/repos,3,0,0,0,set()
harlanyu,https://api.github.com/users/harlanyu,https://github.com/harlanyu,https://api.github.com/users/harlanyu/repos,13,15,6,15,"{'Python', 'JavaScript'}"
bate,https://api.github.com/users/bate,https://github.com/bate,https://api.github.com/users/bate/repos,28,0,0,0,"{'PHP', 'Ruby', 'C', 'Dockerfile', 'JavaScript', 'Python', 'Puppet', 'SCSS'}"
monomyth,https://api.github.com/users/monomyth,https://github.com/monomyth,https://api.github.com/users/monomyth/repos,4,1,1,1,"{'Ruby', 'C++', 'C', 'HTML', 'Go', 'R'}"
mahjong,https://api.github.com/users/mahjong,https://github.com/mahjong,https://api.github.com/users/mahjong/repos,5,5,1,5,"{'Python', 'JavaScript'}"
